#️⃣	# かこみすうじ しゃーぷ しゃーぷだいやる
*️⃣	* かこみすうじ
0️⃣	0 かこみすうじ ０
1️⃣	1 かこみすうじ １
2️⃣	2 かこみすうじ ２
3️⃣	3 かこみすうじ ３
4️⃣	4 かこみすうじ ４
5️⃣	5 かこみすうじ ５
6️⃣	6 かこみすうじ ６
7️⃣	7 かこみすうじ ７
8️⃣	8 かこみすうじ ８
9️⃣	9 かこみすうじ ９
©️	Cまーく きごう こぴーらいと ちょさくけん ちょさくけんまーく
®️	あーるまーく きごう とうろくしょうひょう とうろくしょうひょうまーく
‼️	! えくすくらめーしょんまーく きごう にじゅうかんたんふ びっくりまーく やくもの ！ ！！
⁉️	! !? ? かんたんふぎもんふ きごう はてなまーく びっくりまーく ！ ！？ ？
™️	 TMまーく きごう しょうひょう しょうひょうまーく とれーどまーく
ℹ️	i iまーく いんふぉめーしょん いんふぉめーしょんしんぼる じょうほう
↔️	さゆう さゆうやじるし やじるし やじるしさゆう
↕️	じょうげ じょうげやじるし やじるし やじるしじょうげ
↖️	 ひだりうえ ひだりうえやじるし ほくせい やじるし
↗️	 ほくとう みぎうえ みぎうえやじるし やじるし
↘️	 なんとう みぎした みぎしたやじるし やじるし
↙️	 なんせい ひだりした ひだりしたやじるし やじるし
↩️	 かーぶ きょくせん ひだり みぎかーぶやじるし やじるし
↪️	 かーぶ きょくせん ひだりかーぶやじるし みぎ やじるし
⌚️	うでどけい とけい
⌛️	 すな すなどけい とけい
⌨️	pc きーぼーど こんぴゅーたー ぱそこん ぴーしー
⏏️	いじぇくと とりだし とりだしぼたん ぼたん
⏩️	はやおくり はやおくりぼたん ぼたん みぎ やじるし
⏪️	はやもどし はやもどしぼたん ひだり まきもどし もどる やじるし
⏫️	 うえ こうそくじょうぼたん にじゅう ぼたん やじるし
⏬️	 こうそくしたぼたん した にじゅう ぼたん やじるし
⏭️	つぎのきょくぼたん つぎのしーん つぎのとらっく ぼたん やじるし
⏮️	ぼたん まえのきょくぼたん まえのしーん まえのとらっく やじるし
⏯️	いちじていし いちじていしぼたん さいせい さいせいぼたん さいせい／いちじていしぼたん ぼたん やじるし
⏰️	 あらーむ とけい めざまし めざましどけい
⏱️	すとっぷうぉっち とけい
⏲️	たいまー とけい
⏳️	 すな すながおちているすなどけい すなどけい とけい
⏸️	いちじていし いちじていしぼたん ぼたん ぽーず
⏹️	すとっぷ ていし ていしぼたん ぼたん
⏺️	ぼたん ろくおん ろくおんろくがぼたん ろくが
Ⓜ️	M ちかてつ まる まるいえむまーく
▪️	 くろ くろしかくしょう しかく せいほうけい
▫️	 しかく しろ しろしかくしょう せいほうけい
▶️	さいせい さいせいぼたん つぎへ ぷれい ぼたん みぎむきさんかく やじるし
◀️	ぎゃくさいせい ぎゃくさいせいぼたん ひだりむきさんかく ぼたん まきもどし もどる やじるし
◻️	 しかく しろ しろしかくだい せいほうけい
◼️	 くろ くろしかくだい しかく せいほうけい
◽️	 しかく しろ しろしかくちゅう せいほうけい
◾️	 くろ くろしかくちゅう しかく せいほうけい
☀️	たいよう はれ
☁️	 くも くもり てんき
☂️	あめ かさ てんき もちもの
☃️	ゆき ゆきだるま ゆきだるまとゆき
☄️	うちゅう すいせい
☎️	おやき くろでんわ こていでんわ でんわ ぷっしゅほん ぼたんしきでんわ
☑️	きごう ちぇっく ちぇっくぼっくす ちぇっくまーく
☔️	あめ かさ かさとあめ てんき もちもの
☕️	あたたかいのみもの かっぷ きっさてん こうちゃ こーひー のみもの ほっとどりんく
☘️	くさ くろーばー は
☝️	うえ うえゆびさし て ひとさしゆび ゆびさし
☠️	かお がいこつ すかる どくろ どくろとほね
☢️	きけん ほうしゃせい ほうしゃせん ほうしゃのう
☣️	きけん ばいおはざーど ゆうがいぶっしつ
☦️	きりすときょう しゅうきょう じゅうじか はったんじゅうじか
☪️	いすらむきょう しゅうきょう ほし ほしとみかづき みかづき
☮️	ぴーすまーく へいわ
☯️	いんやん いんよう しゅうきょう どうきょう
☸️	しゅうきょう てんぽうりん ぶっきょう ほうりん
☹️	かお こまった こまったかお しかめつら
☺️	 えがお かお すまいりー すまいる ほっ
♀️	おんな しんぼる じょせい じょせいのまーく
♂️	おとこ しんぼる だんせい だんせいのまーく
♈️	 おひつじざ せいざ
♉️	 おうしざ せいざ
♊️	 せいざ ふたござ
♋️	 かにざ せいざ
♌️	 ししざ せいざ
♍️	 おとめざ せいざ
♎️	 せいざ てんびんざ
♏️	 さそりざ せいざ
♐️	 いてざ せいざ
♑️	 せいざ やぎざ
♒️	 せいざ みずがめざ
♓️	 うおざ せいざ
♟️	こま すてごま ちぇす ちぇすのこま
♠️	かーど すぺーど とらんぷ
♣️	かーど くらぶ くろーばー とらんぷ
♥️	 かーど とらんぷ はーと
♦️	かーど だいあ だいや とらんぷ
♨️	いいきぶん おんせん おんせんまーく
♻️	さいせい さいりよう じゅんかんやじるし りさいくる りさいくるまーく
♾️	えいえん ばんぶつ むげん むげんだい
♿️	 くるまいす ばりあふりー ばりやふりー
⚒️	かなづち こうぐ つるはし とんかち はんまー はんまーとつるはし
⚓️	いかり ふね みなと
⚔️	かたな くろすしたけん けん つるぎ ぶき
⚕️	あすくれぴおすのつえ いしゃ いりょう いりょうのしんぼる ちりょう
⚖️	かがく じっけん せいざ てんびん はかり
⚗️	かがく じっけん じょうりゅうき
⚙️	ぎあ こうぐ はぐるま
⚛️	げんし げんしのしんぼる げんそ ぶんし むしんろん
⚜️	えんぶれむ ふらんすおうけ ふるーるどりす もんしょう ゆり
⚠️	きけん けいこく ちゅうい ひょうしき ！
⚡️	いなずま いなづま かみなり きけん こうでんあつ でんき
⚧️	LGBT しんぼる せいべつ てぃーじー とらんすじぇんだーのまーく
⚪️	 しろ しろいまる まる まるいぼたん
⚫️	 くろ くろいまる まる まるいぼたん
⚰️	かんおけ し ひつぎ まいそう
⚱️	いはい こつつぼ し そうぎ まいそう
⚽️	さっかー さっかーぼーる すぽーつ ぼーる
⚾️	すぽーつ ぼーる やきゅう やきゅうぼーる
⛄️	 ゆき ゆきだるま
⛅️	くも くもり くもりときどきはれ たいよう てんき ときどきくもり
⛈️	あめ いなずま かみなり くも てんき らいう
⛎️	 せいざ へびつかいざ へびつかざ
⛏️	こうぐ さいくつ つるはし
⛑️	きゅうきゅう はくじゅうじ はくじゅうじへるめっと へるめっと
⛓️	くさり ちぇーん
⛓️‍💥	くさり こわれた こわれたくさり ちぇーん
⛔️	きせい しゃりょうしんにゅうきんし たちいりきんし どうろ ひょうしき
⛩️	しゅうきょう しんとう じんじゃ たてもの とりい
⛪️	きょうかい きりすときょう しゅうきょう たてもの ちゃぺる
⛰️	さんがく やま
⛱️	かさ すなはま ぱらそる びーち
⛲️	こうえん ふんすい
⛳️	ごるふ すぽーつ はた ふらぐ ふらっぐ ほーる
⛴️	のりもの ふぇりー ふね
⛵️	のりもの はんせん ふね ぼーと よっと りぞーと
⛷️	すきー すきーやー すとっく すぽーつ
⛸️	あいすすけーと すけーと すぽーつ ふぃぎゅあすけーと
⛹️	きゅうぎ すぽーつ ばすけ ばすけっとぼーる ばすけっとぼーるをするひと
⛹️‍♀️	きゅうぎ じょせい すぽーつ ばすけ ばすけっとぼーる ばすけっとぼーるをするおんな
⛹️‍♂️	きゅうぎ すぽーつ だんせい ばすけ ばすけっとぼーる ばすけっとぼーるをするおとこ
⛺️	きゃんぷ てんと
⛽️	がすすたんど がそりん がそりんすたんど がそりんのずる
✂️	かっと きる はさみ びよういん ぶんぐ ぶんぼうぐ
✅️	きごう しろぬきのちぇっく ちぇっく ちぇっくまーく ぴん
✈️	のりもの ひこうき
✉️	いーめーる てがみ でんしめーる ふうとう めーる ゆうびん
✊️	 ぐー げんこつ て
✋️	きょしゅ て てのひら ぱー
✌️	 ちょき て ぴーす ぶいさいん
✍️	かいているて て てがき てでかく
✏️	 えんぴつ ぶんぐ ぶんぼうぐ
✒️	えでぃっと ぶんぐ ぶんぼうぐ ぺん ぺんさき まんねんひつ
✔️	 きごう ちぇっく ちぇっくまーく ふとじのちぇっく
✖️	かけざん かける きごう きゃんせる じょうざん ばつ ぺけ
✝️	きりすときょう くろす しゅうきょう じゅうじか
✡️	しゅうきょう だびでのほし ほし ゆだやきょう
✨️	 きらきら すたー ぴかぴか ほし
✳️	あすたりすく かざり きごう はっかくあすたりすく ほし やくもの
✴️	かざり きごう すぱーく はっかくせい ほし やくもの
❄️	けっしょう ゆき ゆきのけっしょう
❇️	あすたりすく きごう すぱーく すぱーくる やくもの
❌️	 かけざん きごう きゃんせる じょうざん ばつ ぺけ
❎️	 かけざん きごう きゃんせる しろぬきのばつ じょうざん ばつ ぺけ
❓️	? あかいぎもんふ きごう ぎもんふ くえすちょん くえすちょんまーく はてな はてなまーく やくもの ？
❔️	? きごう くえすちょん くえすちょんまーく しろいぎもんふ はてな はてなまーく やくもの ？
❕️	! えくすくらめーしょんまーく きごう しろいかんたんふ びっくり びっくりまーく やくもの ！
❗️	! あかいかんたんふ えくすくらめーしょんまーく かんたんふ きごう びっくりまーく やくもの ！
❣️	えくすくらめーしょんまーく はーと はーとのびっくり びっくりまーく
❤️	あかいはーと くろはーと はーと はーとまーく
❤️‍🔥	あい せいなるしんぞう はーと ひのついた ほのお もえるはーと
❤️‍🩹	きずついた けが しょうしん はーと ほうたい ほうたいをまいたはーと
➕️	+ かさん きごう たしざん たす ぷらす ＋
➖️	- きごう げんざん ひきざん ひく まいなす ー
➗️	/ きごう じょさん わりざん わる ・ ／
➡️	 ひがし みぎ みぎやじるし やじるし
➰️	 きごう ちょうおん るーぷ わっか
➿️	 きごう だぶるるーぷ ふりーだいやる るーぷ わっか
