＼(^o^)／	にこにこ にこっ にこ ばんざい おわた おーい はーい
(^o^)	にこにこ にこっ にこ わーい
(^^)	にこにこ にこっ にこ
(*^^*)	にこにこ にこっ にこ
^_^	にこっ にこ
:D	よこおき にこにこ にこっ にこ わーい
・ω・	にこ
^^;	にこにこ あせ ぎくっ ぽりぽり
☆彡	きらきら ほし ながれぼし
(T_T)	しくしく なみだ なく えーん
(*´ω｀*)	てれ
(´・ω・｀)	しょぼーん しょんぼり がっかり
(^O^)	にこにこ にこっ にこ わーい
(;_;)	しくしく なみだ なく えーん うるうる
(^_^)	にこにこ にこっ にこ
m(_ _)m	ぺこり ごめん ごめんなさい おじぎ ありがとう
(・∀・)	にこにこ にこっ にこ
(*_*)	びくっ びっくり めがてん
(´・ω・`)	しょぼーん がっくり がくーり しょんぼり
(*^_^*)	にこにこ にこっ にこ わーい
:)	よこおき すまいる またね
(*´∀｀*)	てれ またーり うっとり
(^_^;)	にこにこ あせ ぎくっ ぽりぽり
m(__)m	ぺこり ごめん ごめんなさい おじぎ
(._.)	ぺこり どれどれ ごめんなさい ごめん
(´；ω；｀)	なみだ なく
(-_-)	じとっ じと じとー むっ
(*´∀｀)	てれ
(^O^)／	にこにこ おーい はーい
(^○^)	にこにこ にこっ にこ わーい
(ﾟ∀ﾟ)	あひゃ びっくり めがてん
(´ε｀ )	ちゅっ
☆ミ	きらきら ほし ながれぼし
(^^)/	にこにこ おーい はーい ではでは
(^q^)	にこにこ にこっ にこ よだれ
＿|￣|○	がっくり がくーり
(⌒▽⌒)	にこにこ にこっ にこ にゃー
(^.^)	にこにこ にこっ にこ
;)	よこおき うぃんく ういんく にこにこ にこっ にこ
(-_-;)	ぎくっ あせ じろ じとっ じと じとー
（＾ν＾）	にゅっ にこにこ にこっ にこ
(ToT)	しくしく なみだ なく えーん
(#^.^#)	にこにこ にこっ にこ
(#^^#)	にこっ にこ にこにこ
(^_-)	にこにこ ういんく うぃんく
(p_-)	むしめがね
(-.-)	じとっ じと じとー むっ
(-.-;)	じとっ じと じとー ぎくっ
(--)	むか
(..)	どれどれ
φ(..)	めもめも
(TT)	しくしく なみだ なく えーん
(TдT)	しくしく なみだ なく えーん
(TOT)	しくしく なみだ なく えーん
(;O;)	しくしく なみだ なく えーん
(・・;)	びくっ びっくり めがてん あせ
(・_・;)	ぎくっ あせ めがてん えー
(・_・)	びくっ びっくり めがてん えー
(・o・)	びくっ びっくり めがてん ぽかーん
(・・)	めがてん びっくり びくっ しーん
(・・?	めがてん なぜ なぞ はてな
(・・;	めがてん なぜ なぞ はてな あせ ぎくっ
(・。・;	あせ めがてん びくっ
(・。・)	めがてん びっくり びくっ
(・へ・)	むか
(；・∀・)	ぎくっ あせ
(；´∀｀)	あせ
(；´Д｀)	あせ はぁはぁ
(*´Д｀)	てれ あーん
(*´艸｀*)	てれ ぽっ きゃっ
(*´﹃｀*)	だらー
(*´ｪ`*)	てれ ぽっ
(*´ω`*)	てれ
(ヽ´ω`)	ぐったり げっそり
(●´ω｀●)	てれ にこ にこにこ ぽっ
(●´ϖ`●)	にこ にこにこ にこっ
(*´ڡ`●)	ぺろ
(๑´ڡ`๑)	ぺろ ぺろっ おいしい
٩(๑´0`๑)۶	うわーん
٩(๑´3｀๑)۶	ばんざい
٩(๑òωó๑)۶	むか むかっ むきー ぷんぷん
٩(๑`^´๑)۶	むか むかっ むきー ぷんぷん
(๑˙❥˙๑)	くちびる
(^o^;)	わーい にこ にこにこ にこっ あせ ぎくっ
(^o^;	ぎくっ あせ
(^.^;	にこにこ あせ ぎくっ ぽりぽり
(^^ゞ	にこにこ あせ ぎくっ ぽりぽり
(^^♪	にこにこ にこっ にこ
(^。^)	にこにこ にこっ にこ わーい
(^Q^)	じゅるっ にこっ
(^m^)	とんとん
(^・^)	にこにこ にこっ にこ
(^ρ^)	あひゃ
(^o^)v	にこにこ にこっ にこ ぶい ぴーす
(^_^)v	にこにこ にこっ にこ ぶい ぴーす
(^O^)v	ぶい ぴーす
(^^)v	にこにこ にこっ にこ ぶい ぴーす
(*^^)v	にこにこ にこっ にこ ぶい ぴーす
(*^。^*)	にこにこ にこっ にこ
(*^▽^*)	てれ
（*^_^*）	にこにこ にこっ にこ
（；^ω^）	あせ
（；＾ω＾）	あせ
（＾ｖ＾）	にこにこ にこっ にこ わーい
（＾◇＾）	にこにこ にこっ にこ わーい
（＾ｕ＾）	にこにこ にこっ にこ
（ ＾ν＾）	にゅっ にこにこ にこっ にこ
（●＾o＾●）	にこにこ にこっ にこ わーい
（●｀ε´●）	ぷんぷん いかり むか
(｀´）	むか むかー
(゜゜)	うーん えっと えーと
(゜o゜)	おーい
(゜-゜)	うーん えっと えーと
(゜_゜)	うーん えっと えーと
(゜.゜)	うーん えっと えーと
(゜レ゜)	うーん
(゜o゜;	ぎくっ びっくり めがてん あせ えっと えーと
(~o~)	ほへー
(~_~)	ほへー
(~_~;)	あせ ほへー
(~O~;)	ほへー あせ
(~O~)	ほへー
(~_~メ)	むか むかー
(-_-メ)	むか
(＠_＠;)	びくっ びっくり めがてん あせ
(@_@)	びくっ びっくり めがてん
(@@)	めがてん びっくり びくっ
(@_@。	びくっ びっくり めがてん
(*_*;	びくっ びっくり めがてん あせ
(;_;	しくしく なみだ うるうる
(/_;)	しくしく なみだ なく えーん
(:_;)	しくしく なみだ なく えーん うるうる
(ーー;)	ぎくっ あせ じろ じとっ じと じとー
(ー_ー;)	じろ じとっ じと じとー あせ
(ー_ー)	じとっ じとー
(+_+)	びくっ びっくり まぶしい うーん
(+o+)	うーん
((+_+))	うーん
(｡･_･｡)	うーん
(｡･･｡)	てれ
(｡ŏ﹏ŏ)	うーん
(｡>﹏<｡)	てれ はずかしい
(>ω<)	うれしい
(ΦωΦ)	ねこ どうぶつ
(〃ω〃)	てれ
(〃∇〃)	てれ
(_ _)	ぺこり ごめん ごめんなさい おじぎ
(_ _;)	ぺこり おじぎ あせ ごめん ごめんなさい あせ
m(_ _;)m	ぺこり おじぎ あせ ごめん ごめんなさい
_(_^_)_	ぺこり ごめん ごめんなさい おじぎ
_(._.)_	ぺこり ごめん ごめんなさい おじぎ
_(┐「ε:)_	ばた たかざわじゅんすけ
_(:3」∠)_	たかざわじゅんすけ
(¯―¯٥)	なみだ なく
(*ﾟ∀ﾟ)	にこ にこにこ にこっ つー
( ﾟдﾟ)	ぽかーん
( ﾟдﾟ )	みんな みるな
( ﾟдﾟ )彡	ふりむき
(´ﾟдﾟ｀)	びっくり
(ﾟдﾟ)！	びっくり
ヮ(ﾟдﾟ)ォ!	わお
( ﾟдﾟ)ﾊｯ!	はっ びっくり
( ﾟ∀ﾟ)o彡°	じょるじゅ
(ﾟ∀ﾟ)ｱﾋｬ	あひゃ
ﾍ(ﾟ∀ﾟﾍ)ｱﾋｬ	あひゃ
Σ(ﾟ∀ﾟﾉ)ﾉｷｬｰ	きゃー びっくり
(*ﾉｪﾉ)ｷｬｰ	てれ きゃー
(ﾉ∀`)ｱﾁｬｰ	あちゃー
(ﾉД`)ｼｸｼｸ	しくしく なみだ なく えーん
(´Д｀)ﾊｧ…	はぁ
(;´Д｀)ﾊｧﾊｧ	はぁはぁ あせ
(*´Д`)ﾊｧﾊｧ	はぁはぁ
(ﾟДﾟ)ﾊｧ?	はぁ
(ﾟдﾟ)ｳﾏｰ	うまー
|дﾟ)ﾁﾗｯ	ちらっ
(・д・)ﾁｯ	ちっ
(/ω・＼)ﾁﾗｯ	ちらっ
(-ω☆)ｷﾗﾘ	きらり
(-д☆)ｷﾗｯ	きらっ
(-_-)zzz	ねてる いねむり ふてね ねる
(^_-)-☆	にこにこ ういんく うぃんく
(^_^)/~	ばいばい さようなら さよなら
(^_^)/	にこにこ にこっ にこ おーい はーい
(^o^)／	にこにこ おーい はーい
(^o^)丿	にこにこ にこっ にこ はーい てをあげて
ヽ(^o^)丿	にこにこ ばんざい
／(^o^)＼	おわた
!(^o^)!	にこにこ にこっ にこ ぴんぽーん
ヽ(^。^)ノ	にこにこ にこっ にこ ばんざい
ヽ(´ー｀)ノ	またーり ばんざーい
ヽ(´ｴ`)ﾉ	ばんざい
ヽ(=´▽`=)ﾉ	わーい ばんざい
(=^･^=)	にこ にこにこ にこっ
(=^・^=)	どうぶつ ねこ
(=^・・^=)	どうぶつ ねこ
(^_^.)	にこにこ にこっ にこ
(^O^;)	わーい にこっ にこ にこにこ あせ
(=_=;)	てつやあけ ねむい
(=_=)	てつやあけ てつや ねむい
(;_:)	しくしく なみだ なく えーん
(?_?)	なぜ なぞ はてな
(*μ_μ)	てれ
(；一_一)	じろ じとっ じと じとー あせ
( 一一)	じろ じとー じと じとっ
( ´∀｀)	もなー にこ にこにこ にこっ
(ﾉ´∀｀*)	てれ
(о´∀`о)	にこ
Σ(´∀｀；)	どきっ あせ
Σ(・∀・；)	どきっ あせ
(・.・;)	めがてん あせ びっくり びくっ
(=o=;)	てつやあけ あせ ねむい
(　；∀；)	しくしく なく なみだ えーん
( ；∀；)	なみだ しくしく なく えーん
（ ・∀・）	もららー
（ ﾟ∀ﾟ ）	にこにこ にこ にこっ
(# ﾟДﾟ)	いかり むか
"(,,ﾟДﾟ)"	ぎこ
Σ(ﾟДﾟ)	うおっ びっくり ぎくっ
(´Д⊂ヽ	しくしく なみだ えーん
(ーー゛)	むか
(－－〆)	むか むかー
(≧▽≦)	うれしい
(≧∀≦)	にこ
(≧∇≦)/	いえい
(≧∇≦)b	うれしい いい いいね
（≧∇≦）	にこ
（#^ω^）	いかり むか ぴきぴき
((´^ω^))	ぷぎー
ლ(´ڡ`ლ)	ぺろ おいしい
♪～(´ε｀ )	くちぶえ
٩(♡ε♡ )۶	はーと
٩(′д‵)۶	はぁ うわーん
∠( ﾟдﾟ)／	びしっ
(✽ ﾟдﾟ ✽)	ぽかーん びっくり
((≡ﾟ♀ﾟ≡))	ねこ
σ(ﾟ∀ﾟ )ｵﾚ	おれ
ヽ(ﾟ∀｡)ﾉｳｪ	うぇ
ヽ(｀Д´#)ﾉ	むか むかっ うわーん
ヽ(｀▽´)/	わーい ばんざい
ψ(｀∇´)ψ	かもーん
(｀･ω･´)ゞ	けいれい しゃきーん びしっ
<(｀･ω･´)	けいれい
く(｀･ω･´)	けいれい
∠(｀・ω・´)	けいれい
(｀；ω；´)	ぶわっ なく なみだ
(ㆁωㆁ*)	てれ
(ｕ_ｕ*)	てれ ぽっ
(^0_0^)	にこにこ めがね にこ にこっ
^_^;	にこにこ あせ ぎくっ ぽりぽり
