ああ言えばこう言う	ああいえばこういう
会うは別れの始め	あうはわかれのはじめ
青菜に塩	あおなにしお
青は藍より出でて藍より青し	あおはあいよりいでてあいよりあおし
秋の扇	あきのおうぎ
暑さ寒さも彼岸まで	あつささむさもひがんまで
当たるも八卦当たらぬも八卦	あたるもはっけあたらぬもはっけ
愛嬌がこぼれる	あいきょうがこぼれる
合縁奇縁	あいえんきえん
鞍上人なく鞍下馬なし	あんじょうひとなくあんかうまなし
鮑の片思い	あわびのかたおもい
雨降って地固まる	あめふってじかたまる
網呑舟の魚を漏らす	あみどんしゅうのうおをもらす
雨垂れ石を穿つ	あまだれいしをうがつ
虻蜂取らず	あぶはちとらず
危ない橋を渡る	あぶないはしをわたる
痘痕もえくぼ	あばたもえくぼ
後の祭り	あとのまつり
後足で砂を掛ける	あとあしですなをかける
羹に懲りて膾を吹く	あつものにこりてなますをふく
悪貨は良貨を駆逐する	あっかはりょうかをくちくする
頭の上の蝿も追えぬ	あたまのうえのはえもおえぬ
麻の中の蓬	あさのなかのよもぎ
悪事千里を走る	あくじせんりをはしる
秋の日は釣瓶落とし	あきのひはつるべおとし
一富士二鷹三茄子	いちふじにたかさんなす
一粒万倍	いちりゅうまんばい
一触即発	いっしょくそくはつ
一期一会	いちごいちえ
一線を画す	いっせんをかくす
一丁目一番地	いっちょうめいちばんち
一年の計は元旦にあり	いちねんのけいはがんじつにあり
糸を引く	いとをひく
糸の切れた凧	いとのきれたたこ
いずれ菖蒲か杜若	いずれあやめかかきつばた
殷鑑遠からず	いんかんとおからず
言わぬが花	いわぬがはな
鰯の頭も信心から	いわしのあたまもしんじんから
韋編三度絶つ	いへんみたびたつ
衣鉢を伝う	いはつをつたう
井の中の蛙大海を知らず	いのなかのかわずたいかいをしらず
命あっての物種	いのちあってのものだね
犬も歩けば棒に当たる	いぬもあるけばぼうにあたる
犬の遠吠え	いぬのとおぼえ
犬と猿	いぬとさる
案ずるより産むが易い	あんずるよりうむがやすい
圧巻	あっかん
石が流れて木の葉が沈む	いしがながれてこのはがしずむ
石に漱ぎ流れに枕す	いしにくちすすぎながれにまくらす
石の上にも三年	いしのうえにもさんねん
石橋を叩いて渡る	いしばしをたたいてわたる
医者の不養生	いしゃのふようじょう
交喙の嘴	いすかのはし
急がば回れ	いそがばまわれ
鼬の最後っ屁	いたちのさいごっぺ
鼬の道切り	いたちのみちきり
一言以って之を蔽う	いちごんもってこれをおおう
一事が万事	いちじがばんじ
一字千金	いちじせんきん
一難去ってまた一難	いちなんさってまたいちなん
一葉落ちて天下の秋を知る	いちようおちててんかのあきをしる
一挙両得	いっきょりょうとく
一刻千金	いっこくせんきん
一刻千秋	いっこくせんしゅう
一将功成りて万骨枯る	いっしょうこうなりてばんこつかる
一寸先は闇	いっすんさきはやみ
一寸の光陰軽んずべからず	いっすんのこういんかるんずべからず
一寸の虫にも五分の魂	いっすんのむしにもごぶのたましい
一斑を以って全豹を卜す	いっぱんをもってぜんぴょうをぼくす
鷸蚌の争い	いつぼうのあらそい
乙夜の覧	いつやのらん
魚心あれば水心	うおごころあればみずごころ
牛に引かれて善光寺参り	うしにひかれてぜんこうじまいり
牛は牛連れ	うしはうしづれ
氏より育ち	うじよりそだち
牛を馬に乗り換える	うしをうまにのりかえる
嘘から出た実	うそからでたまこと
嘘つきは泥棒のはじまり	うそつきはどろぼうのはじまり
嘘も方便	うそもほうべん
独活の大木	うどのたいぼく
鵜の真似をする烏	うのまねをするからす
鵜の目鷹の目	うのめたかのめ
馬の耳に念仏	うまのみみにねんぶつ
売り言葉に買い言葉	うりことばにかいことば
瓜の蔓に茄子は生らぬ	うりのつるになすびはならぬ
噂をすれば影が射す	うわさをすればかげがさす
雲泥の差	うんでいのさ
易簀	えきさく
得手に帆を揚げる	えてにほをあげる
江戸の仇を長崎で討つ	えどのかたきをながさきでうつ
蝦で鯛を釣る	えびでたいをつる
遠交近攻	えんこうきんこう
猿猴月を取る	えんこうつきをとる
燕雀安んぞ鴻鵠の志を知らん	えんじゃくいずくんぞこうこくのこころざしをしらん
偃鼠河に飲めども腹を満たすに過ぎず	えんそかわにのめどもはらをみたすにはすぎず
縁の下の力持ち	えんのしたのちからもち
傍目八目	おかめはちもく
奥歯に物が挟まる	おくばにものがはさまる
驕る者久しからず	おごるものひさしからず
小田原評定	おだわらひょうじょう
同じ穴の狢	おなじあなのむじな
同じ釜の飯を食う	おなじかまのめしをくう
鬼が出るか蛇が出るか	おにがでるかじゃがでるか
鬼が笑う	おにがわらう
鬼に金棒	おににかなぼう
鬼の居ぬ間の洗濯	おにのいぬまのせんたく
鬼の首を取ったよう	おにのくびをとったよう
鬼の念仏	おにのねんぶつ
鬼の目にも涙	おにのめにもなみだ
鬼も十八番茶も出花	おにもじゅうはちばんちゃもでばな
帯に短し襷に長し	おびにみじかしたすきにながし
溺れる者は藁をも掴む	おぼれるものはわらをもつかむ
親の心子知らず	おやのこころこしらず
親の光は七光り	おやのひかりはななひかり
女賢しうて牛売り損なう	おんなさかしうてうしうりそこなう
女三人寄れば姦しい	おんなさんにんよればかしましい
飼い犬に手を噛まれる	かいいぬにてをかまれる
会稽の恥	かいけいのはじ
解語の花	かいごのはな
隗より始めよ	かいよりはじめよ
蛙の子は蛙	かえるのこはかえる
蛙の面に水	かえるのつらにみず
蝸牛角上の争い	かぎゅうかくじょうのあらそい
学問に王道なし	がくもんにおうどうなし
獲麟	かくりん
華胥の国に遊ぶ	かしょのくににあそぶ
臥薪嘗胆	がしんしょうたん
苛政は虎よりも猛し	かせいはとらよりもたけし
渇すれども盗泉の水を飲まず	かっすれどもとうせんのみずをのまず
河童の川流れ	かっぱのかわながれ
河童の屁	かっぱのへ
桂を折る	かつらをおる
瓜田に履を納れず	かでんにくつをいれず
鼎の軽重を問う	かなえのけいちょうをとう
蟹は甲羅に似せて穴を掘る	かにはこうらににせてあなをほる
金の切れ目が縁の切れ目	かねのきれめがえんのきれめ
金は天下の回りもの	かねはてんかのまわりもの
禍福は糾える縄の如し	かふくはあざなえるなわのごとし
壁に耳	かべにみみ
果報は寝て待て	かほうはねてまて
剃刀の刃を渡る	かみそりのはをわたる
亀の甲より年の功	かめのこうよりとしのこう
鴨が葱を背負って来る	かもがねぎをしょってくる
痒いところに手が届く	かゆいところにてがとどく
烏に反哺の孝あり	からすにはんぽのこうあり
画龍点睛	がりょうてんせい
枯れ木に花	かれきにはな
枯れ木も山の賑わい	かれきもやまのにぎわい
可愛い子には旅をさせよ	かわいいこにはたびをさせよ
可愛さ余って憎さが百倍	かわいさあまってにくさがひゃくばい
邯鄲の歩み	かんたんのあゆみ
邯鄲の夢	かんたんのゆめ
艱難汝を玉にす	かんなんなんじをたまにす
堪忍袋の緒が切れる	かんにんぶくろのおがきれる
管鮑の交わり	かんぽうのまじわり
聞いて極楽見て地獄	きいてごくらくみてじごく
奇貨居くべし	きかおくべし
雉も鳴かずば撃たれまい	きじもなかずばうたれまい
疑心暗鬼	ぎしんあんき
木で鼻を扱くる	きではなをこくる
木に竹を接ぐ	きにたけをつぐ
木に縁りて魚を求む	きによりてうおをもとむ
昨日は人の身今日は我が身	きのうはひとのみきょうはわがみ
木の実は本へ落つ	きのみはもとへおつ
気は心	きはこころ
杞憂	きゆう
九死に一生を得る	きゅうしにいっしょうをえる
牛耳を執る	ぎゅうじをとる
窮すれば通ず	きゅうすればつうず
窮鼠猫を噛む	きゅうそねこをかむ
器用貧乏	きようびんぼう
渠成って水至る	きょなってみずいたる
漁夫の利	ぎょふのり
麒麟も老いては駑馬に劣る	きりんもおいてはどばにおとる
金時の火事見舞い	きんときのかじみまい
臭いものに蓋をする	くさいものにふたをする
腐っても鯛	くさってもたい
薬も過ぎれば毒となる	くすりもすぎればどくとなる
糞も味噌も一緒	くそもみそもいっしょ
口は禍の元	くちはわざわいのもと
唇亡びて歯寒し	くちびるほろびてはさむし
口も八丁手も八丁	くちもはっちょうてもはっちょう
国破れて山河あり	くにやぶれてさんがあり
蜘蛛の子を散らす	くものこをちらす
暗がりから牛	くらがりからうし
苦しいときの神頼み	くるしいときのかみだのみ
君子危うきに近寄らず	くんしあやうきにちかよらず
君子は豹変する	くんしはひょうへんする
葷酒山門に入るを許さず	くんしゅさんもんにいるをゆるさず
群盲象を評す	ぐんもうぞうをひょうす
挂冠	けいかん
鶏群の一鶴	けいぐんのいっかく
鶏口となるも牛後となる勿れ	けいこうとなるもぎゅうごとなるなかれ
芸術は長く人生は短し	げいじゅつはながくじんせいはみじかし
蛍雪	けいせつ
兄たり難く弟たり難し	けいたりがたくていなりがたし
鶏鳴狗盗	けいめいくとう
怪我の功名	けがのこうみょう
逆鱗	げきりん
月下氷人	げっかひょうじん
毛を吹いて疵を求める	けをふいてきずをもとめる
涓滴岩を穿つ	けんてきいわをうがつ
恋は思案の外	こいはしあんのほか
光陰矢の如し	こういんやのごとし
後悔先に立たず	こうかいさきにたたず
好事魔多し	こうじまおおし
弘法も筆の誤まり	こうぼうもふでのあやまり
弘法筆を選ばず	こうぼうふでをえらばず
高木は風に折らる	こうぼくはかぜにおらる
紺屋の明後日	こうやのあさって
紺屋の白袴	こんやのしろばかま
呉越同舟	ごえつどうしゅう
呉下の阿蒙	ごかのあもう
故郷へ錦を飾る	こきょうへにしきをかざる
虎穴に入らずんば虎子を得ず	こけつにいらずんばこじをえず
五十歩百歩	ごじゅっぽひゃっぽ
壺中の天地	こちゅうのてんち
子は三界の首枷	こはさんがいのくびかせ
鼓腹撃壌	こふくげきじょう
田作の歯軋り	ごまめのはぎしり
子ゆえの闇	こゆえのやみ
転ばぬ先の杖	ころばぬさきのつえ
塞翁が馬	さいおうがうま
先んずれば人を制す	さきんずればひとをせいす
策士策に溺れる	さくしさくにおぼれる
酒は百薬の長	さけはひゃくやくのちょう
左袒	さたん
五月の鯉の吹流し	さつきのこいのふきながし
猿も木から落ちる	さるもきからおちる
去る者は追わず	さるものはおわず
去る者は日々に疎し	さるものはひびにうとし
触らぬ神に祟りなし	さわらぬかみにたたりなし
三顧の礼	さんこのれい
三十六計逃げるに如かず	さんじゅうろっけいにげるにしかず
山椒は小粒でもぴりりと辛い	さんしょうはこつぶでもぴりりとからい
三人寄れば文殊の知恵	さんにんよればもんじゅのちえ
鹿を逐う者は山を見ず	しかをおうものはやまをみず
鹿を指して馬と為す	しかをさしてうまとなす
地獄で仏に会う	じごくでほとけにあう
肉食った報い	ししくったむくい
獅子身中の虫	しししんちゅうのむし
事実は小説よりも奇なり	じじつはしょうせつよりもきなり
獅子の子落とし	ししのこおとし
死児の齢を数える	しじのよわいをかぞえる
士族の商法	しぞくのしょうほう
七歩の才	しちほのさい
死人に口なし	しにんにくちなし
死馬の骨を買う	しばのほねをかう
四面楚歌	しめんそか
釈迦に説法	しゃかにせっぽう
杓子定規	しゃくしじょうぎ
蛇の道は蛇	じゃのみちはへび
重箱の隅を楊枝で穿る	じゅうばこのすみをようじでほじくる
守株	しゅしゅ
出盧	しゅつろ
朱に交われば赤くなる	しゅにまじわればあかくなる
正直の頭に神宿る	しょうじきのこうべにかみやどる
上知と下愚とは移らず	じょうちとかぐとはうつらず
食指が動く	しょくしがうごく
知らぬが仏	しらぬがほとけ
白羽の矢が立つ	しらはのやがたつ
尻馬に乗る	しりうまにのる
人事を尽くして天命を待つ	じんじをつくしててんめいをまつ
水魚の交わり	すいぎょのまじわり
推敲	すいこう
粋は身を食う	すいはみをくう
酸いも甘いも噛み分けた	すいもあまいもかみわけた
据膳食わぬは男の恥	すえぜんくわぬはおとこのはじ
好きこそ物の上手なれ	すきこそもののじょうずなれ
過ぎたるは及ばざるが如し	すぎたるはおよばざるがごとし
杜撰	ずさん
雀の涙	すずめのなみだ
