お土産	おどさん
この期に及んで	このきにおよんで
一丁字	いっちょうじ
一世一代	いっせいいちだい
一世一元	いっせいちげん
一切経	いっさいぎょう
一家言	いちかげん
一家言	いっかごん
一応	いちよう
一日の長	いちにちのちょう
一朝一夕	いっちょういちゆう
一期一会	いちきいちえ
一期一会	いっきいちえ
一汁一菜	いちじるいっさい
一献	いっけん
一矢を報いる	いちやをむくいる
一矢を報いる	ひとやをむくいる
一縷	いちろう
一蓮托生	いちれんたくせい
一親等	いちしんとう
一言一句	いちげんいっく
一言半句	ひとことはんく
一言居士	いちごんこじ
一隅	ひとすみ
七光り	しちひかり
七味とうがらし	ななみとうがらし
七堂伽藍	ななどうがらん
七変化	ななへんげ
七福神	ななふくじん
七草	しちくさ
万事	まんじ
万事休す	まんじきゅうす
万全	まんぜん
万力	ばんりき
万年青	まんねんあお
万感	まんかん
万有引力	まんゆういんりょく
万灯会	まんとうえ
万端	まんたん
万策	まんさく
万華鏡	ばんかきょう
万障	まんしょう
万難	まんなん
三つ巴	みっつどもえ
三三九度	さんさんきゅうど
三下り半	さんぎょうはん
三位一体	さんいいったい
三拝九拝	さんぱいくはい
三昧	さんみ
三番叟	さんばんそう
三社祭	さんしゃまつり
三種の神器	さんしゅのしんき
三途の川	さんとのかわ
上意下達	じょういげたつ
上意下達	じょういげだつ
下落	からく
下血	かけつ
不世出	ふせしゅつ
不審火	ふしんか
不祝儀	ふしゅうぎ
世帯数	しょたいすう
世迷い言	よまよいごと
中力粉	ちゅうりょくこ
九分九厘	きゅうぶきゅうりん
九品仏	くひんぶつ
九寸五分	きゅうすんごぶ
九尺二間	きゅうしゃくにけん
乱舞	らんまい
二十四孝	にじゅうよんこう
二十四節気	にじゅうよんせっき
二者択一	にしゃたくいち
五月晴	ごがつばれ
五月晴れ	ごがつばれ
五月雨	ごがつあめ
些細	しさい
交通の便	こうつうのびん
人事不省	じんじふしょう
人身御供	じんしんごきょう
人身御供	じんしんごくう
仁術	にんじゅつ
伊達	いたち
伏線	ふせん
会得	かいとく
会釈	かいしゃく
伝馬船	でんません
似而非	にせ
似非	じひ
似非	にせ
体よく	たいよく
体育	たいく
体育館	たいくかん
余力	よりき
作動	さくどう
作務衣	さくむい
作務衣	さむい
作風	さふう
侍女	たいじょ
供奉	くほう
供物	きょうぶつ
供物	くぶつ
侠客	きょうきゃく
修羅場	しゅうらば
修行	しゅうぎょう
健啖家	けんえんか
健気	けんき
傍目八目	はためはちもく
傍輩	ほうはい
傍輩	ぼうはい
傾城	けいじょう
元凶	がんきょう
元帥	げんし
先達	さきだち
克己心	かっこしん
入国	にゅうごく
入魂式	じっこんしき
全員	ぜいいん
公取委	こうしゅい
六歌仙	ろくかせん
内奥	ないおく
内省	ないしょう
内訳	ないわけ
円滑	えんこつ
冤罪	めんざい
冥利	めいり
冶金	ちきん
凄絶	そうぜつ
凋落	しゅうらく
凝結	ぎけつ
凡例	ぼんれい
出入国	しゅつにゅうごく
出初め式	でそめしき
出国	しゅつごく
出汁	でじる
出色	でいろ
分銅	ぶんどう
初陣	しょじん
初陣	はつじん
利幅	りふく
前半	ぜんぱん
前場	まえば
前栽	ぜんさい
割愛	わりあい
労咳	ろうぜき
化身	かしん
十人十色	じゅうにんじっしょく
千万無量	せんばんむりょう
千変万化	せんべんまんか
千変万化	せんぺんまんげ
千字文	せんじぶん
千客万来	せんきゃくまんらい
千手観音	せんてかんのん
千石船	せんせきせん
千社札	せんしゃふだ
千言万語	せんげんまんご
千載一遇	せんさいいちぐう
半死半生	はんしはんせい
原因	げいいん
原板	げんぱん
原版	げんばん
参内	さんない
参詣	さんし
反古	はんこ
反故	はんこ
反駁	はんぱく
収斂	しゅうけん
口伝	こうでん
口吻	くちづけ
古文書	こぶんしょ
古文書	こぶんしょ
句読点	くどくてん
叱咤	しったく
合印	ごういん
合祀	ごうき
合算	ごうさん
同行二人	どうこうににん
吹聴	すいちょう
吹聴	ふうちょう
呂律	ろりつ
呵責	かせき
問答	もんとう
喧伝	せんでん
喪中	そうちゅう
嗅覚	しゅうかく
嗚咽	めいいん
嘖嘖	しゃくしゃく
嘖嘖	せきせき
四分五裂	しぶごれつ
四分六	よんぶろく
四十八手	よんじゅうはって
四半世紀	よんはんせいき
四君子	よんくんし
四天王	してんおう
四百四病	よんひゃくよんびょう
回向	かいこう
団塊	だんこん
困憊	こんばい
困憊	こんび
固唾	こすい
固唾	こだ
固陋	こへい
地の利	じのり
地価	じか
地力	じりょく
均一	きんいち
均衡	きんしょう
執拗	しゅうよう
塑像	さくぞう
境内	きょうない
