、	とうてん , 、 ， てん
。	くてん . ． 。 まる
，	かんま こんま , ， 、 てん
．	ぴりおど どっと . ． 。 てん
・	てん なかてん なかぐろ 、 ・ /
：	ころん : ： てん
；	せみころん ; ； てん
？	ぎもんふ . ? ？ くえすちょん はてな ・
？？	ぎもんふ . ? ？ くえすちょん はてな ・
？！	ぎもんふ . ? ？ くえすちょん はてな ・
！？	ぎもんふ かんたんふ . ? ？ ! ！ くえすちょん はてな えくすくらめーしょん びっくり ・
！	かんたんふ . ! ！ えくすくらめーしょん びっくり
！！	かんたんふ . ! ！ えくすくらめーしょん びっくり
゛	だくてん " てん てんてん きごう
゜	はんだくてん まる ' てん きごう
´	あきゅーと きごう '
'	あぽすとろふぃ くぉーと きごう '
¨	うむらうと とれま きごう
｀	` ぐらーぶ きごう
˝	だぶるあきゅーと
~	ちるだ きごう
¯	まくろん きごう
＾	^ きごう
￣	~ きごう うえ おーばーらいん
＿	_ きごう した あんだーばー あんだーすこあ あんだーらいん
`	` ぐらーぶ きごう ‘ ’ “ ” ' "
"   " ` だぶるくおーと だぶるくおーてーしょん くぉーと だぶるくぉーてしょん きごう
␣	すぺーす くうはく
ヽ	おなじ くりかえし どう きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ
ヾ	おなじ くりかえし どう きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ
ゝ	おなじ くりかえし どう きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ
ゞ	おなじ くりかえし どう きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ
〃	おなじ くりかえし どう きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ おなじく どうじょう のの ののじ ののてん ののじてん
仝	おなじ どう きごう
々	おなじ くりかえし どう のま きごう おどりじ おどり かさねじ おくりじ ゆすりじ じゅうてん じょうじ
〆	しめ きごう
〇	ぜろ れい きごう
ー	- ー － ―
-	- ー － ― はいふん まいなす きごう
―	- ー － ― だっしゅ きごう
–	- ー － ― だっしゅ きごう えんだっしゅ にぶだーし にぶだっしゅ enだっしゅ ENだっしゅ
—	- ー － ― だっしゅ きごう えmだっしゅ えむだっしゅ ぜんかくだっしゅ emだっしゅ EMだっしゅ
‐	- ー － ― はいふん
／	すらっしゅ しゃせん ・ / きごう ななめ
＼	ばっくすらっしゅ ぎゃくしゃせん ・ / ／ \ ＼ ¥ ￥ きごう しゃせん すらっしゅ ななめ
\	ばっくすらっしゅ ぎゃくしゃせん ・ / ／ \ ＼ ¥ ￥ きごう しゃせん すらっしゅ ななめ
〜	にょろ なみ から ー - ~ きごう より
∥	| || たてぼう たてせん へいこう きごう
‖	| || たてぼう たてせん そうちゅう きごう
｜	| たてぼう たてせん きごう
…	。。。 . ... ・・・ ・ 。 てん きごう あまり さんてん さんてんりーだ さんてんりーだー
‥	。。 .. ・・ ・ 。 てん など きごう にてんりーだ にてんりーだー
︙	。。。 . ... ・・・ ・ … : てん きごう さんてん さんてんりーだ さんてんりーだー たてさんてんりーだ たてさんてんりーだー たてりーだ たてりーだー
︰	。。 .. ・・ ・ ‥ : てん など きごう にてんりーだ にてんりーだー たてにてんりーだ たてにてんりーだー たてりーだ たてりーだー
‘	ばっくくおーと ばっくくぉーと ' " きごう
’   くおーと くおーてーしょん くぉーと くぉーてーしょん ' " きごう
“   ' だぶるくおーと だぶるくおーてーしょん くぉーと だぶるくぉーてしょん きごう "
”   ' だぶるくおーと だぶるくおーてーしょん くぉーと だぶるくぉーてしょん きごう "
（   [ 「 ( ｢
