order	reading	surface1	surface2	surface3	surface4	source_id	update_no	update_date	improved
1	まいはーしす	My HER-SYS				ATOK-02023	1	2023/02/01	マイハーシス、My HER-SYS
1	ぴーふぁす	PFAS				ATOK-00699	24	2025/03/06	PFAS
1	りふぁい	ReFi				ATOK-01202	14	2024/04/09	ReFi
1	すれっず	Threads				ATOK-01597	7	2023/08/03	スレッズ、Threads
1	ぶいえーあーる	VAR				ATOK-02015	1	2023/02/01	VAR
1	あかざえび	あかざえび				ATOK-01436	9	2023/10/10	アカザエビ、藜海老、あかざえび
1	おおおにばす	おおおにばす				ATOK-00205	33	2025/12/04	オオオニバス、大鬼蓮、おおおにばす
1	こあじさい	こあじさい				ATOK-00421	29	2025/08/05	コアジサイ、小紫陽花、こあじさい
1	こみゃく	こみゃく				ATOK-00516	27	2025/06/05	こみゃく
1	ごりょうめい	ご両名				ATOK-01843	3	2023/04/06	ご両名
1	しゃばい	しゃばい				ATOK-00174	34	2026/02/02	しゃばい
1	しゃぶもち	しゃぶ餅				ATOK-00119	35	2026/03/05	しゃぶ餅
1	ぬいかつ	ぬい活				ATOK-00233	33	2025/12/04	ぬい活
1	むらさきつめくさ	むらさきつめくさ				ATOK-01621	7	2023/08/03	ムラサキツメクサ、紫詰草、むらさきつめくさ
1	あかざえび	アカザエビ				ATOK-01436	9	2023/10/10	アカザエビ、藜海老、あかざえび
1	あすぱらな	アスパラ菜				ATOK-00551	26	2025/05/08	アスパラ菜
1	あとびょう	アト秒				ATOK-01379	10	2023/11/07	アト秒
1	あにごえ	アニ声				ATOK-00401	29	2025/08/05	アニ声
1	あめぴん	アメピン				ATOK-00101	35	2026/03/05	アメピン
1	あめりかしろひとり	アメリカシロヒトリ				ATOK-00845	20	2024/10/08	アメリカシロヒトリ
1	あるむない	アルムナイ				ATOK-01568	7	2023/08/03	アルムナイ
1	あんこんとろーらぶる	アンコントローラブル				ATOK-00301	31	2025/10/07	アンコントローラブル
1	あんすぽ	アンスポ				ATOK-00895	19	2024/09/05	アンスポ
1	いそひよどり	イソヒヨドリ				ATOK-00995	17	2024/07/04	イソヒヨドリ
