# value	unit	accepted reading; bounded lexical aliases reuse existing numeric entry costs and POS
1	つ	ひとつ
2	つ	ふたつ
3	つ	みっつ
4	つ	よっつ
5	つ	いつつ
6	つ	むっつ
7	つ	ななつ
8	つ	やっつ
9	つ	ここのつ
10	つ	とお
1	日	ついたち
2	日	ふつか
3	日	みっか
4	日	よっか
5	日	いつか
6	日	むいか
7	日	なのか
8	日	ようか
9	日	ここのか
10	日	とおか
1	月	いちがつ
2	月	にがつ
3	月	さんがつ
4	月	しがつ
5	月	ごがつ
6	月	ろくがつ
7	月	しちがつ
8	月	はちがつ
9	月	くがつ
10	月	じゅうがつ
1	時間	いちじかん
2	時間	にじかん
3	時間	さんじかん
4	時間	よじかん
5	時間	ごじかん
6	時間	ろくじかん
7	時間	しちじかん
8	時間	はちじかん
9	時間	くじかん
10	時間	じゅうじかん
1	年	いちねん
2	年	にねん
3	年	さんねん
4	年	よねん
5	年	ごねん
6	年	ろくねん
7	年	ななねん
8	年	はちねん
9	年	きゅうねん
10	年	じゅうねん
1	歳	いっさい
2	歳	にさい
3	歳	さんさい
4	歳	よんさい
5	歳	ごさい
6	歳	ろくさい
7	歳	ななさい
8	歳	はっさい
9	歳	きゅうさい
10	歳	じゅっさい
1	か月	いっかげつ
2	か月	にかげつ
3	か月	さんかげつ
4	か月	よんかげつ
5	か月	ごかげつ
6	か月	ろっかげつ
7	か月	ななかげつ
8	か月	はっかげつ
9	か月	きゅうかげつ
10	か月	じゅっかげつ
1	個	いっこ
2	個	にこ
3	個	さんこ
4	個	よんこ
5	個	ごこ
6	個	ろっこ
7	個	ななこ
8	個	はっこ
9	個	きゅうこ
10	個	じゅっこ
1	本	いっぽん
2	本	にほん
3	本	さんぼん
4	本	よんほん
5	本	ごほん
6	本	ろっぽん
7	本	ななほん
8	本	はっぽん
9	本	きゅうほん
10	本	じゅっぽん
1	匹	いっぴき
2	匹	にひき
3	匹	さんびき
4	匹	よんひき
5	匹	ごひき
6	匹	ろっぴき
7	匹	ななひき
8	匹	はっぴき
9	匹	きゅうひき
10	匹	じゅっぴき
1	杯	いっぱい
2	杯	にはい
3	杯	さんばい
4	杯	よんはい
5	杯	ごはい
6	杯	ろっぱい
7	杯	ななはい
8	杯	はっぱい
9	杯	きゅうはい
10	杯	じゅっぱい
1	冊	いっさつ
2	冊	にさつ
3	冊	さんさつ
4	冊	よんさつ
5	冊	ごさつ
6	冊	ろくさつ
7	冊	ななさつ
8	冊	はっさつ
9	冊	きゅうさつ
10	冊	じゅっさつ
1	回	いっかい
2	回	にかい
3	回	さんかい
4	回	よんかい
5	回	ごかい
6	回	ろっかい
7	回	ななかい
8	回	はっかい
9	回	きゅうかい
10	回	じゅっかい
1	階	いっかい
2	階	にかい
3	階	さんがい
4	階	よんかい
5	階	ごかい
6	階	ろっかい
7	階	ななかい
8	階	はっかい
9	階	きゅうかい
10	階	じゅっかい
1	件	いっけん
2	件	にけん
3	件	さんけん
4	件	よんけん
5	件	ごけん
6	件	ろっけん
7	件	ななけん
8	件	はっけん
9	件	きゅうけん
10	件	じゅっけん
1	軒	いっけん
2	軒	にけん
3	軒	さんげん
4	軒	よんけん
5	軒	ごけん
6	軒	ろっけん
7	軒	ななけん
8	軒	はっけん
9	軒	きゅうけん
10	軒	じゅっけん
1	頭	いっとう
2	頭	にとう
3	頭	さんとう
4	頭	よんとう
5	頭	ごとう
6	頭	ろくとう
7	頭	ななとう
8	頭	はっとう
9	頭	きゅうとう
10	頭	じゅっとう
1	台	いちだい
2	台	にだい
3	台	さんだい
4	台	よんだい
5	台	ごだい
6	台	ろくだい
7	台	ななだい
8	台	はちだい
9	台	きゅうだい
10	台	じゅうだい
1	枚	いちまい
2	枚	にまい
3	枚	さんまい
4	枚	よんまい
5	枚	ごまい
6	枚	ろくまい
7	枚	ななまい
8	枚	はちまい
9	枚	きゅうまい
10	枚	じゅうまい
1	着	いっちゃく
2	着	にちゃく
3	着	さんちゃく
4	着	よんちゃく
5	着	ごちゃく
6	着	ろくちゃく
7	着	ななちゃく
8	着	はっちゃく
9	着	きゅうちゃく
10	着	じゅっちゃく
1	足	いっそく
2	足	にそく
3	足	さんそく
4	足	よんそく
5	足	ごそく
6	足	ろくそく
7	足	ななそく
8	足	はっそく
9	足	きゅうそく
10	足	じゅっそく
1	泊	いっぱく
2	泊	にはく
3	泊	さんぱく
4	泊	よんぱく
5	泊	ごはく
6	泊	ろっぱく
7	泊	ななはく
8	泊	はっぱく
9	泊	きゅうはく
10	泊	じゅっぱく
1	発	いっぱつ
2	発	にはつ
3	発	さんぱつ
4	発	よんぱつ
5	発	ごはつ
6	発	ろっぱつ
7	発	ななはつ
8	発	はっぱつ
9	発	きゅうはつ
10	発	じゅっぱつ
1	点	いってん
2	点	にてん
3	点	さんてん
4	点	よんてん
5	点	ごてん
6	点	ろくてん
7	点	ななてん
8	点	はってん
9	点	きゅうてん
10	点	じゅってん
1	通	いっつう
2	通	につう
3	通	さんつう
4	通	よんつう
5	通	ごつう
6	通	ろくつう
7	通	ななつう
8	通	はっつう
9	通	きゅうつう
10	通	じゅっつう
3	足	さんぞく
